epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8351,1.40025,1.37834,1.35921,0.68821,0.49207,0.56873,0.33724,1.43859,1.38781,1.40254,0.0668771,3.3156e-05,3.3156e-05
2,67.2688,1.27293,1.21407,1.27141,0.71739,0.56443,0.64367,0.39691,1.27204,1.16676,1.26425,0.0335771,6.64244e-05,6.64244e-05
3,99.1816,1.22156,1.13234,1.24237,0.73833,0.58893,0.67842,0.4316,1.21813,1.06749,1.23074,0.000276738,9.94331e-05,9.94331e-05
4,130.814,1.24534,1.15561,1.24913,0.73302,0.60559,0.68711,0.44614,1.19086,1.02795,1.20712,9.91232e-05,9.91232e-05,9.91232e-05
5,162.317,1.218,1.10636,1.22987,0.73511,0.61146,0.69445,0.44702,1.18595,1.02073,1.19245,9.84449e-05,9.84449e-05,9.84449e-05
6,193.462,1.1999,1.09377,1.22412,0.7735,0.58158,0.69467,0.45183,1.1743,1.00268,1.18888,9.75773e-05,9.75773e-05,9.75773e-05
7,224.792,1.19199,1.06875,1.21061,0.75109,0.61651,0.70045,0.45778,1.15263,0.98131,1.16936,9.65239e-05,9.65239e-05,9.65239e-05
8,256.242,1.17115,1.0466,1.20314,0.73879,0.62371,0.70585,0.46094,1.15642,0.97659,1.17644,9.52889e-05,9.52889e-05,9.52889e-05
9,287.519,1.17679,1.04556,1.19811,0.73086,0.63155,0.70975,0.46439,1.15381,0.96552,1.17161,9.38772e-05,9.38772e-05,9.38772e-05
10,319.16,1.14618,1.01938,1.19373,0.71573,0.62861,0.69997,0.46046,1.1544,0.9707,1.17149,9.22942e-05,9.22942e-05,9.22942e-05
11,350.459,1.15686,1.01402,1.19011,0.75089,0.61489,0.70262,0.45671,1.17016,0.96762,1.18447,9.05463e-05,9.05463e-05,9.05463e-05
12,381.677,1.15941,1.01206,1.18557,0.74924,0.61636,0.70493,0.46484,1.16027,0.96368,1.17196,8.86404e-05,8.86404e-05,8.86404e-05
13,413.96,1.13109,0.99007,1.18304,0.75304,0.626,0.71057,0.46478,1.1596,0.95876,1.16973,8.65839e-05,8.65839e-05,8.65839e-05
14,444.999,1.13898,0.99208,1.1771,0.74252,0.62861,0.70927,0.46718,1.14892,0.95223,1.17879,8.43851e-05,8.43851e-05,8.43851e-05
15,476.314,1.1264,0.98068,1.17539,0.73535,0.64394,0.71099,0.46663,1.15216,0.94609,1.17184,8.20525e-05,8.20525e-05,8.20525e-05
16,508.104,1.12941,0.97629,1.16935,0.74309,0.63841,0.7149,0.46911,1.14357,0.92859,1.16143,7.95954e-05,7.95954e-05,7.95954e-05
17,539.286,1.11736,0.96952,1.16428,0.74349,0.63764,0.71604,0.46602,1.14803,0.93884,1.16546,7.70234e-05,7.70234e-05,7.70234e-05
18,570.519,1.10549,0.94242,1.15311,0.73654,0.62871,0.71192,0.46531,1.14966,0.93608,1.16258,7.43468e-05,7.43468e-05,7.43468e-05
19,601.895,1.10409,0.94149,1.15423,0.74479,0.62567,0.71479,0.47033,1.13945,0.92883,1.16541,7.15761e-05,7.15761e-05,7.15761e-05
20,633.437,1.10622,0.94059,1.15355,0.77947,0.62812,0.72157,0.47569,1.13054,0.91049,1.15748,6.87222e-05,6.87222e-05,6.87222e-05
21,664.496,1.09256,0.94163,1.15297,0.74782,0.62912,0.71667,0.47299,1.13284,0.91541,1.15096,6.57963e-05,6.57963e-05,6.57963e-05
22,696.087,1.08992,0.93288,1.14708,0.77076,0.62959,0.71915,0.47276,1.1405,0.91956,1.1532,6.28101e-05,6.28101e-05,6.28101e-05
23,727.435,1.08989,0.92016,1.14798,0.77138,0.62983,0.72338,0.47349,1.13996,0.91565,1.15981,5.97754e-05,5.97754e-05,5.97754e-05
24,759.094,1.07876,0.90733,1.1368,0.75802,0.62159,0.71616,0.47342,1.1256,0.91893,1.14858,5.6704e-05,5.6704e-05,5.6704e-05
25,791.136,1.07546,0.90634,1.13987,0.75765,0.64233,0.72192,0.47445,1.13075,0.91391,1.15022,5.36081e-05,5.36081e-05,5.36081e-05
26,823.055,1.0799,0.90523,1.13464,0.7575,0.63988,0.71891,0.47389,1.1289,0.91466,1.15418,5.05e-05,5.05e-05,5.05e-05
27,854.209,1.06983,0.90035,1.13352,0.78547,0.61783,0.72196,0.47571,1.12595,0.91351,1.14975,4.73919e-05,4.73919e-05,4.73919e-05
28,885.822,1.06133,0.88828,1.13015,0.79287,0.6051,0.71759,0.47344,1.132,0.91823,1.15638,4.4296e-05,4.4296e-05,4.4296e-05
29,917.646,1.06206,0.88106,1.13162,0.76447,0.62657,0.72121,0.47311,1.13054,0.91508,1.15327,4.12246e-05,4.12246e-05,4.12246e-05
30,948.737,1.0675,0.8794,1.12555,0.75569,0.63841,0.72033,0.47438,1.1258,0.91591,1.1475,3.81899e-05,3.81899e-05,3.81899e-05
31,980.206,1.05862,0.8805,1.12674,0.78786,0.6193,0.71834,0.47494,1.12304,0.91706,1.14467,3.52037e-05,3.52037e-05,3.52037e-05
32,1011.82,1.05039,0.87694,1.12866,0.77463,0.63204,0.72481,0.47638,1.11907,0.90852,1.14357,3.22778e-05,3.22778e-05,3.22778e-05
33,1043.21,1.03362,0.85675,1.11929,0.76334,0.63939,0.72428,0.47484,1.12681,0.90802,1.15068,2.94239e-05,2.94239e-05,2.94239e-05
34,1074.31,1.0484,0.86663,1.11955,0.74979,0.64772,0.72284,0.47574,1.12566,0.9038,1.15318,2.66532e-05,2.66532e-05,2.66532e-05
35,1106.55,1.04626,0.85785,1.12313,0.77612,0.62322,0.72108,0.4734,1.12948,0.90768,1.15174,2.39766e-05,2.39766e-05,2.39766e-05
36,1138.33,1.04643,0.85901,1.11878,0.75521,0.64723,0.72225,0.47482,1.12741,0.90684,1.14874,2.14046e-05,2.14046e-05,2.14046e-05
